2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
================================================================================
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | STEP 1: FETCH DATA MODULE
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | ================================================================================
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
Provider Configuration:
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✗ Yahoo Finance
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✗ Screener.in
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✗ Finnhub API
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ Financial Metrics
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
Verifying paths...
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ Working dir:   /home/runner/work/bharatmarkets/bharatmarkets
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ DATA_DIR:      /home/runner/work/bharatmarkets/bharatmarkets/data
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ SYMBOLS_FILE:  /home/runner/work/bharatmarkets/bharatmarkets/unified-symbols.json
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ SYMBOL_MAP:    /home/runner/work/bharatmarkets/bharatmarkets/symbol_map.json
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
Loading configuration...
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ 99 companies to fetch
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ 6 delisted excluded
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
Building sector mapping...
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ Sector mapping built: 99 stocks
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   ✓ Unique sectors: Consumer Discretionary, Consumer Staples, Defence, ETF, Energy, Financials, Government Securities, Healthcare, Industrials, Information Technology, Materials, Mutual Fund, Telecom, Utilities
2026-05-17 01:59:25 | STEP1-FETCH | INFO     | 
Fetching from 1 provider(s)...
2026-05-17 01:59:25 | STEP1-FETCH | INFO     |   [CapEx Screener] ABCAPITAL: trying https://www.screener.in/api/v2/companies/abcapital/financials/cash-flow/
2026-05-17 01:59:26 | STEP1-FETCH | INFO     |   [CapEx Screener] ABCAPITAL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:27 | STEP1-FETCH | INFO     |   [CapEx Screener] ABFRL: trying https://www.screener.in/api/v2/companies/abfrl/financials/cash-flow/
2026-05-17 01:59:27 | STEP1-FETCH | INFO     |   [CapEx Screener] ABFRL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:28 | STEP1-FETCH | INFO     |   [CapEx Screener] ACMESOLAR: trying https://www.screener.in/api/v2/companies/acmesolar/financials/cash-flow/
2026-05-17 01:59:28 | STEP1-FETCH | INFO     |   [CapEx Screener] ACMESOLAR: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:30 | STEP1-FETCH | INFO     |   [CapEx Screener] APOLLOHOSP: trying https://www.screener.in/api/v2/companies/apollohosp/financials/cash-flow/
2026-05-17 01:59:30 | STEP1-FETCH | INFO     |   [CapEx Screener] APOLLOHOSP: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:31 | STEP1-FETCH | INFO     |   [CapEx Screener] ARE&M: trying https://www.screener.in/api/v2/companies/are&m/financials/cash-flow/
2026-05-17 01:59:32 | STEP1-FETCH | INFO     |   [CapEx Screener] ARE&M: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:32 | STEP1-FETCH | INFO     |   [CapEx Screener] ARROWGREEN: trying https://www.screener.in/api/v2/companies/arrowgreen/financials/cash-flow/
2026-05-17 01:59:33 | STEP1-FETCH | INFO     |   [CapEx Screener] ARROWGREEN: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:33 | STEP1-FETCH | INFO     |   [CapEx Screener] ASALCBR: trying https://www.screener.in/api/v2/companies/asalcbr/financials/cash-flow/
2026-05-17 01:59:34 | STEP1-FETCH | INFO     |   [CapEx Screener] ASALCBR: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:35 | STEP1-FETCH | INFO     |   [CapEx Screener] ASHOKA: trying https://www.screener.in/api/v2/companies/ashoka/financials/cash-flow/
2026-05-17 01:59:35 | STEP1-FETCH | INFO     |   [CapEx Screener] ASHOKA: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:36 | STEP1-FETCH | INFO     |   [CapEx Screener] AVANTIFEED: trying https://www.screener.in/api/v2/companies/avantifeed/financials/cash-flow/
2026-05-17 01:59:36 | STEP1-FETCH | INFO     |   [CapEx Screener] AVANTIFEED: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:37 | STEP1-FETCH | INFO     |   [CapEx Screener] AZAD: trying https://www.screener.in/api/v2/companies/azad/financials/cash-flow/
2026-05-17 01:59:38 | STEP1-FETCH | INFO     |   [CapEx Screener] AZAD: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:38 | STEP1-FETCH | INFO     |   [CapEx Screener] AZADIND: trying https://www.screener.in/api/v2/companies/azadind/financials/cash-flow/
2026-05-17 01:59:39 | STEP1-FETCH | INFO     |   [CapEx Screener] AZADIND: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:40 | STEP1-FETCH | INFO     |   [CapEx Screener] BDL: trying https://www.screener.in/api/v2/companies/bdl/financials/cash-flow/
2026-05-17 01:59:40 | STEP1-FETCH | INFO     |   [CapEx Screener] BDL: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:41 | STEP1-FETCH | INFO     |   [CapEx Screener] BIOCON: trying https://www.screener.in/api/v2/companies/biocon/financials/cash-flow/
2026-05-17 01:59:41 | STEP1-FETCH | INFO     |   [CapEx Screener] BIOCON: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:42 | STEP1-FETCH | INFO     |   [CapEx Screener] BLACKBOX: trying https://www.screener.in/api/v2/companies/bbox/financials/cash-flow/
2026-05-17 01:59:43 | STEP1-FETCH | INFO     |   [CapEx Screener] BLACKBOX: request failed - 404 Client Error: Not Found for url: https://www.screener.in
2026-05-17 01:59:43 | STEP1-FETCH | INFO     |   [CapEx Screener] CAPITALNUM: trying https://www.screener.in/api/v2/companies/cninfotech/financials/cash-flow/
2026-05-17 01:59:44 | STEP1-FETCH | INFO     |   [CapEx Screener] CAPITALNUM: request failed - 404 Client Error: Not Found for url: https://www.screener.in
