2026-06-16 02:33:38 | AMFI-NAV   | INFO     | Portfolio ISINs to match (MUTUAL FUND / SOVEREIGN BOND): 6
2026-06-16 02:33:38 | AMFI-NAV   | INFO     | Fetching https://www.amfiindia.com/spages/NAVAll.txt ...
2026-06-16 02:33:41 | AMFI-NAV   | WARNING  |   ⚠ 1 ISIN(s) not found in AMFI NAVAll.txt: ['IN0020230184']
2026-06-16 02:33:41 | AMFI-NAV   | INFO     |   ✓ Matched 5/6 ISINs
2026-06-16 02:33:42 | AMFI-NAV   | INFO     |   ✓ Kotak Flexicap Fund - Growth: returns computed
2026-06-16 02:33:43 | AMFI-NAV   | INFO     |   ✓ Nippon India Focused Fund -Growth Plan -Growth Option: returns computed
2026-06-16 02:33:58 | AMFI-NAV   | INFO     |   ✓ ICICI Prudential Technology Fund - Growth: returns computed
2026-06-16 02:33:59 | AMFI-NAV   | INFO     |   ✓ SBI Small Cap Fund - Regular Plan - Growth: returns computed
2026-06-16 02:34:00 | AMFI-NAV   | INFO     |   ✓ Mirae Asset S&P 500 Top 50 ETF: returns computed
2026-06-16 02:34:00 | AMFI-NAV   | INFO     | ✓ Wrote data/mf_nav.json
2026-06-16 02:34:00 | SGB-LTP    | INFO     | Portfolio SGB symbols to fetch: 1
2026-06-16 02:34:00 | SGB-LTP    | INFO     |   ✓ SGBFEB32IV: LTP 15501.85
2026-06-16 02:34:01 | SGB-LTP    | INFO     |   ✓ Fetched 1/1 SGB symbols
2026-06-16 02:34:01 | SGB-LTP    | INFO     | ✓ Wrote data/sgb_ltp.json
2026-06-16 02:34:01 | QSIF-NAV   | INFO     | Portfolio SIF entries to match: 1
2026-06-16 02:34:02 | QSIF-NAV   | INFO     |   Page 1: 0 rows
2026-06-16 02:34:04 | QSIF-NAV   | INFO     |   Page 2: 0 rows
2026-06-16 02:34:04 | QSIF-NAV   | INFO     |   Total rows fetched: 0
2026-06-16 02:34:04 | QSIF-NAV   | WARNING  |   ⚠ INF966L30027: no match for scheme_name 'QSIF EQUITY LONG-SHORT FUND-REGULAR PLAN-GROWTH'
2026-06-16 02:34:04 | QSIF-NAV   | WARNING  |   ⚠ 1 symbol(s) not matched: ['INF966L30027']
2026-06-16 02:34:04 | QSIF-NAV   | INFO     |   ✓ Matched 0/1 SIF entries
2026-06-16 02:34:04 | QSIF-NAV   | INFO     | ✓ Wrote data/qsif_nav.json
