2026-05-17 08:31:19 | WARNING | ✗ AZADIND      | FETCH FAILED
2026-05-17 08:32:23 | WARNING | ✗ BLACKBOX     | FETCH FAILED
2026-05-17 08:33:18 | WARNING | ✗ CAPITALNUM   | FETCH FAILED
2026-05-17 08:35:27 | WARNING | ✗ HEBL         | FETCH FAILED
2026-05-17 08:37:45 | WARNING | ✗ KPENERGY     | FETCH FAILED
2026-05-17 08:38:40 | WARNING | ✗ KPPL         | FETCH FAILED
2026-05-17 08:39:58 | WARNING | ✗ MCDOWELL-N   | FETCH FAILED
2026-05-17 08:40:53 | WARNING | ✗ MIRAEAMC - SMALLCAP | FETCH FAILED
2026-05-17 08:42:19 | WARNING | ✗ QUALITY      | FETCH FAILED
2026-05-17 08:43:32 | WARNING | ✗ REVATHI      | FETCH FAILED
2026-05-17 08:44:50 | WARNING | ✗ SGBFEB32IV   | FETCH FAILED
2026-05-17 08:45:45 | WARNING | ✗ SHILCHAR     | FETCH FAILED
2026-05-17 08:46:41 | WARNING | ✗ SHREEREF     | FETCH FAILED
2026-05-17 08:48:11 | WARNING | ✗ TITANBIO     | FETCH FAILED
2026-05-17 08:49:33 | WARNING | ✗ ZINKA        | FETCH FAILED
