2026-05-15 17:39:01 | STEP2-MERGE | INFO     | 
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | ================================================================================
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | STEP 2: MERGE & CONSOLIDATE MODULE
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | ================================================================================
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | 
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Verifying paths...
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   Working directory: /home/runner/work/bharatmarkets/bharatmarkets
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   DATA_DIR: /home/runner/work/bharatmarkets/bharatmarkets/data
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   Checking YAHOO_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/yahoo-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     Exists: True
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   Checking SCREENER_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/screener-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     Exists: True
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   Checking FINNHUB_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/finnhub-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     Exists: True
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   Files in /home/runner/work/bharatmarkets/bharatmarkets/data:
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - fetch_runtime.log
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - finnhub-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - yahoo_fetch.log
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - merge-script.log
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - yahoo-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - screener_fetch.log
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - raw_yahoo_fundamentals.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - screener-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - guidance.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - chart
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - raw_screener_fundamentals.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - fetch-history.log
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     - logs
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ YAHOO_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/yahoo-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ SCREENER_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/screener-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ FINNHUB_FILE: /home/runner/work/bharatmarkets/bharatmarkets/data/finnhub-history.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | 
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Loading source files...
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ Yahoo: 97 tickers
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ Screener: 97 tickers
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ Finnhub: 97 tickers
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | 
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Consolidating data...
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ Consolidated 97 tickers
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | 
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Saving merged file...
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |   ✓ Saved: /home/runner/work/bharatmarkets/bharatmarkets/data/merged_fundamentals.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     |     File size: 10903499 bytes
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | ================================================================================
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | STEP 2 SUMMARY
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | ================================================================================
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Sources: Yahoo + Screener + Finnhub
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Tickers: 97
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | Output: merged_fundamentals.json
2026-05-15 17:39:01 | STEP2-MERGE | INFO     | ================================================================================
