2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | 
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | ================================================================================
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | YAHOOF FINANCIAL METRICS EXTRACTOR - CORRECT VERSION
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | ================================================================================
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | 
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | Provider Configuration:
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     |   ✓ YahooF Financial Metrics (Sector-Specific)
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | 
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | Loading 99 companies, 6 delisted excluded
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | 
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | Fetching financial metrics from 95 companies...
2026-05-17 18:36:48 | YAHOOF-FIN | INFO     | 
2026-05-17 18:36:59 | YAHOOF-FIN | INFO     |   Progress: 20/95...
2026-05-17 18:37:10 | YAHOOF-FIN | INFO     |   Progress: 40/95...
2026-05-17 18:37:22 | YAHOOF-FIN | INFO     |   Progress: 60/95...
2026-05-17 18:37:32 | YAHOOF-FIN | INFO     |   Progress: 80/95...
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | 
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Saving files...
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     |   ✓ Saved: /home/runner/work/bharatmarkets/bharatmarkets/data/yahoof_financials_1.json
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | 
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | ================================================================================
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | YAHOOF EXECUTION SUMMARY
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | ================================================================================
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Processed:  95 companies
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Success:    95
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Errors:     0
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Output:     /home/runner/work/bharatmarkets/bharatmarkets/data/yahoof_financials_1.json
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | Log:        /home/runner/work/bharatmarkets/bharatmarkets/data/logs/yahoof_financials_1.log
2026-05-17 18:37:41 | YAHOOF-FIN | INFO     | ================================================================================
