symbol,company_name,timestamp
ABCAPITAL,Aditya Birla Capital Ltd,2026-05-17T07:34:47.348669
ABFRL,Aditya Birla Fashion & Retail Ltd,2026-05-17T07:34:51.802954
ACMESOLAR,ACME Solar Holdings Ltd,2026-05-17T07:34:56.140931
AFCONS,Afcons Infrastructure Ltd,2026-05-17T07:35:00.476259
APOLLOHOSP,Apollo Hospitals Enterprise Ltd,2026-05-17T07:35:04.831401
ARE&M,Amara Raja Energy & Mobility Ltd,2026-05-17T07:35:09.157463
ARROWGREEN,Arrow Greentech Ltd,2026-05-17T07:35:13.503177
ASALCBR,Associated Alcohols & Breweries Ltd,2026-05-17T07:35:17.858251
ASHOKA,Ashoka Buildcon Ltd,2026-05-17T07:35:22.216742
AVANTIFEED,Avanti Feeds Ltd,2026-05-17T07:35:26.558798
