ACMESOLAR|ACME SOLAR HOLDINGS LTD
AFCONS|AFCONS INFRASTRUCTURE LTD
AMARAJAB|AMARA RAJA ENERGY MOB LTD
AZAD|AZAD ENGINEERING LIMITED
ABCAPITAL|Aditya Birla Capital Ltd
ABFRL|Aditya Birla Fashion & Retail Ltd
APOLLOHOSP|Apollo Hospitals Enterprise Ltd
ARROWGREEN|Arrow Greentech Ltd
ASHOKA|Ashoka Buildcon Ltd
ASALCBR|Associated Alcohols & Breweries Ltd
AVANTIFEED|Avanti Feeds Ltd
BBOX|BLACK BOX LIMITED
MAHABANK|Bank of Maharashtra
BDL|Bharat Dynamics Ltd
BIOCON|Biocon Ltd
MAPMYINDIA|C.E. Info Systems Limited
CAPITALNUMB|CAPITALNUMBERS INFOTECH  LIMIT
CELLOWORLD|CELLO WORLD LIMITED
CDSL|Central Depository Services (India) Ltd
CIGNITI|Cigniti Technologies Ltd
COCHINSHIP|Cochin Shipyard Ltd
COFORGE|Coforge Ltd
DATAPATTNS|Data Patterns (India) Limited
DATAMATICS|Datamatics Global Services Ltd
DRREDDY|Dr Reddys Laboratories Ltd
ENGINERSIN|Engineers India Ltd
FINCABLES|Finolex Cables Ltd
GRSE|Garden Reach Shipbuilders & Engineers Ltd
GESHIP|Great Eastern Shipping Company Ltd
HBLPOWER|HBL ENGINEERING LTD
HDFCBANK|HDFC Bank Ltd
HDFCLIFE|HDFC Life Insurance Company Ltd
HIGHENERGYB|HIGH ENERGY BATTERIES (INDIA)
HINDRECTIF|Hind Rectifiers Ltd
HAL|Hindustan Aeronautics Ltd
HINDCOPPER|Hindustan Copper Ltd
HINDZINC|Hindustan Zinc Ltd
ICICIBANK|ICICI Bank Ltd
IDEAFORGE|IDEAFORGE TECHNO LTD
IDFCFIRSTB|IDFC First Bank Ltd
INDUSTOWER|INDUS TOWERS LIMITED
INOXINDIA|INOX INDIA LIMITED
INTERARCH|INTERARCH BUILDING PROD L
IGI|INTERNATIO GEMM INS (I) L
ITC|ITC Ltd
INDIANB|Indian Bank
AZADINDIA|Indian Bright Steel Company Ltd
IOC|Indian Oil Corporation Ltd
INDOTECHTR|Indo Tech Transformers Ltd
JYOTHYLAB|Jyothy Labs Ltd
KPENERGI|K.P. Energy Ltd
KAYNES|KAYNES TECHNOLOGY IND LTD
KEI|KEI Industries Ltd
KWALITYPHARM|Kwality Pharmaceuticals Ltd
MBENGINEERING|M AND B ENGINEERING LTD
MAITHANALL|Maithan Alloys Ltd
MARKSANS|Marksans Pharma Ltd
NCC|NCC Ltd
NETWEB|NETWEB TECH INDIA LTD
OIL|Oil India Ltd
PVRINOX|PVR Ltd
PFC|Power Finance Corporation Ltd
POWERGRID|Power Grid Corporation of India Ltd
QUALPOWER|QUALITY POWER ELEC EQUP L
RECLTD|REC Ltd
REDTAPE|REDTAPE LIMITED
REVATHI|REVATHI EQUIPMENT INDIA L
ROSSELLTECH|ROSSELL TECHSYS LIMITED
RAIN|Rain Industries Ltd
RATEGAIN|Rategain Travel Technologies Limited
REPCOHOME|Repco Home Finance Ltd
SSPOWERSWIT|S & S Power Switchgear Ltd
SAGILITY|SAGILITY INDIA LIMITED
SHREEREFRI|SHREE REFRIGERATIONS LIMITED
SKMEPEX|SKM Egg Products Export (India) Ltd
SUZLON|SUZLON ENERGY LIMITED
SANDUMA|Sandur Manganese & Iron Ores Ltd
SHILCHAR|Shilchar Technologies Ltd
SIKAINTERP|Sika Interplant Systems Ltd
SBIN|State Bank of India
SUNFLAG|Sunflag Iron & Steel Company Ltd
SUPRIYA|Supriya Lifescience Limited
SUYOGTELE|Suyog Telematics Ltd
TDPOWERSYS|TD Power Systems Ltd
TRUALT|TRUALT BIOENERGY LIMITED
TATAPOWER|Tata Power Company Ltd
TITANBIOTE|Titan Biotech Ltd
MCDOWELL-N|United Spirits Ltd
VENTIVE|VENTIVE HOSPITALITY LTD
VEDL|Vedanta Ltd
VOLTAMP|Voltamp Transformers Ltd
ZINKA|ZINKA LOGISTICS SOL LTD
ZENTEC|Zen Technologies Ltd
